iter	Passed	Remaining
0	0	30
1	0	33
2	0	30
3	1	30
4	1	30
5	1	28
6	2	28
7	2	27
8	2	28
9	3	28
10	3	27
11	3	28
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	6	28
18	6	28
19	6	27
20	7	27
21	7	27
22	8	26
23	8	26
24	8	26
25	9	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	10
66	21	10
67	21	10
68	22	10
69	22	9
70	22	9
71	23	9
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	25	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
