iter	Passed	Remaining
0	57	57046
1	57	28688
2	57	19214
3	58	14523
4	58	11700
5	59	9805
6	59	8454
7	60	7440
8	60	6648
9	60	6018
10	61	5493
11	61	5061
12	61	4694
13	62	4380
14	62	4107
15	62	3869
16	63	3659
17	63	3476
18	64	3306
19	64	3154
20	64	3021
21	65	2898
22	65	2784
23	65	2679
24	66	2611
25	67	2521
26	67	2440
27	68	2362
28	68	2290
29	68	2223
30	69	2160
31	69	2101
32	69	2043
33	70	1991
34	70	1941
35	70	1894
36	71	1852
37	71	1808
38	71	1767
39	72	1729
40	73	1711
41	73	1675
42	73	1641
43	74	1610
44	74	1579
45	74	1549
46	75	1522
47	76	1513
48	76	1488
49	76	1462
50	77	1438
51	77	1417
52	78	1395
53	78	1373
54	78	1352
55	79	1333
56	79	1313
57	79	1293
58	79	1275
59	81	1269
60	81	1252
61	81	1234
62	81	1218
63	82	1203
64	82	1189
65	83	1174
66	83	1162
67	83	1148
68	84	1135
69	84	1122
70	84	1110
71	85	1098
72	85	1085
73	85	1073
74	86	1061
75	86	1050
76	86	1039
77	86	1028
78	87	1018
79	87	1008
80	88	998
81	88	988
82	88	976
83	88	967
84	89	958
85	89	950
86	89	943
87	90	935
88	90	926
89	90	918
90	91	909
91	91	901
92	91	893
93	91	886
94	92	879
95	92	872
96	92	864
97	93	858
98	93	851
99	93	844
100	94	837
101	94	831
102	94	825
103	95	819
104	95	813
105	95	808
106	96	802
107	96	796
108	96	790
109	97	785
110	97	781
111	97	776
112	98	771
113	98	766
114	98	760
115	99	756
116	99	751
117	99	746
118	100	741
119	100	736
120	100	732
121	100	726
122	101	722
123	101	718
124	101	713
125	102	709
126	102	704
127	102	699
128	103	696
129	103	692
130	103	687
131	103	683
132	104	679
133	104	676
134	104	672
135	105	668
136	105	665
137	105	661
138	106	658
139	106	654
140	106	651
141	107	647
142	107	644
143	107	640
144	108	637
145	108	634
146	108	631
147	109	628
148	109	625
149	109	623
150	110	619
151	110	617
152	110	613
153	111	610
154	111	607
155	111	605
156	112	601
157	112	598
158	112	596
159	113	593
160	113	590
161	113	587
162	113	584
163	114	582
164	114	579
165	114	577
166	115	574
167	115	571
168	115	569
169	116	567
170	116	564
171	116	562
172	117	560
173	117	557
174	117	555
175	118	552
176	118	550
177	118	547
178	119	545
179	119	543
180	119	541
181	119	539
182	120	536
183	120	534
184	120	532
185	121	530
186	121	528
187	121	526
188	122	523
189	122	521
190	122	519
191	122	517
192	123	515
193	123	513
194	123	511
195	124	509
196	124	508
197	124	506
198	125	504
199	125	502
200	125	500
201	126	498
202	126	496
203	126	494
204	127	493
205	127	491
206	127	489
207	128	487
208	128	485
209	128	483
210	128	481
211	129	480
212	129	479
213	129	477
214	130	476
215	130	474
216	130	472
217	131	471
218	131	469
219	132	468
220	132	466
221	132	464
222	133	463
223	133	462
224	133	460
225	134	459
226	134	457
227	134	456
228	134	454
229	135	452
230	135	451
231	135	449
232	136	448
233	136	446
234	136	445
235	137	444
236	137	442
237	137	441
238	138	439
239	138	438
240	138	436
241	138	435
242	139	434
243	139	432
244	139	431
245	140	430
246	140	428
247	140	427
248	141	425
249	141	424
250	141	423
251	142	422
252	142	421
253	142	419
254	143	418
255	143	417
256	143	416
257	144	414
258	144	413
259	144	412
260	145	411
261	145	409
262	145	409
263	146	407
264	146	406
265	146	405
266	147	404
267	147	403
268	147	401
269	148	400
270	148	399
271	148	398
272	149	397
273	149	396
274	149	394
275	150	393
276	150	392
277	150	391
278	151	390
279	151	389
280	151	388
281	152	387
282	152	385
283	152	384
284	152	383
285	153	382
286	153	381
287	153	380
288	154	379
289	154	378
290	155	377
291	155	376
292	155	376
293	156	375
294	156	373
295	156	373
296	157	371
297	157	371
298	157	370
299	158	369
300	158	368
301	158	367
302	159	366
303	159	365
304	159	364
305	160	363
306	160	362
307	160	361
308	160	359
309	161	359
310	161	357
311	161	356
312	162	355
313	162	354
314	162	353
315	163	352
316	163	352
317	163	351
318	163	350
319	164	349
320	164	348
321	164	347
322	165	346
323	165	345
324	165	344
325	166	343
326	166	342
327	166	341
328	167	340
329	167	339
330	167	339
331	168	338
332	168	337
333	168	336
334	168	335
335	169	334
336	169	333
337	169	332
338	170	331
339	170	331
340	170	330
341	171	329
342	171	328
343	172	328
344	172	327
345	172	326
346	173	325
347	173	324
348	173	323
349	173	323
350	174	322
351	174	321
352	174	320
353	175	319
354	175	318
355	175	318
356	176	317
357	176	316
358	176	315
359	177	314
360	177	313
361	177	313
362	177	312
363	178	311
364	178	310
365	178	309
366	179	309
367	179	308
368	179	307
369	180	306
370	180	305
371	180	304
372	180	304
373	181	303
374	181	302
375	182	302
376	182	301
377	182	300
378	183	299
379	183	299
380	183	298
381	183	297
382	184	296
383	185	297
384	185	296
385	185	295
386	186	295
387	186	294
388	186	293
389	187	292
390	187	292
391	187	291
392	188	290
393	188	290
394	189	289
395	189	289
396	189	288
397	190	287
398	190	286
399	190	286
400	191	285
401	191	284
402	191	284
403	192	283
404	192	282
405	192	281
406	193	281
407	193	280
408	193	279
409	193	279
410	194	278
411	194	277
412	194	276
413	195	276
414	195	275
415	195	274
416	196	274
417	196	273
418	196	272
419	196	271
420	197	271
421	197	270
422	197	269
423	198	269
424	198	268
425	198	267
426	199	267
427	199	266
428	199	265
429	200	265
430	200	264
431	200	264
432	201	263
433	201	262
434	201	262
435	202	261
436	202	260
437	202	260
438	203	259
439	203	258
440	203	258
441	203	257
442	204	256
443	204	256
444	204	255
445	205	254
446	205	254
447	205	253
448	206	252
449	206	252
450	206	251
451	207	251
452	207	250
453	207	250
454	208	249
455	208	248
456	208	248
457	209	247
458	209	247
459	210	246
460	210	246
461	211	245
462	211	245
463	211	244
464	211	243
465	212	243
466	212	242
467	212	241
468	213	241
469	213	240
470	213	240
471	214	239
472	214	238
473	214	238
474	214	237
475	215	236
476	215	236
477	215	235
478	216	235
479	216	234
480	216	233
481	217	233
